Sales Enquiry as of 03/14/2026,,,,,,,,,,,
Order No.,Order Date,Required Date,Completed Date,Warehouse,Customer,Customer Type,Product,Product Group,Status,Quantity,Sub Total
SO-00000137,2/28/2026,3/1/2026,3/1/2026,Warehouse,KTOWN,General,Black Straws,Consumables,Completed,2,0
SO-00000137,2/28/2026,3/1/2026,3/1/2026,Warehouse,KTOWN,General,Oat Milk,Raw Material,Completed,5,160
SO-00000137,2/28/2026,3/1/2026,3/1/2026,Warehouse,KTOWN,General,Soyo Matcha,Raw Material,Completed,2,460
SO-00000137,2/28/2026,3/1/2026,3/1/2026,Warehouse,KTOWN,General,Ice lid,Consumables,Completed,2,70.5
SO-00000137,2/28/2026,3/1/2026,3/1/2026,Warehouse,KTOWN,General,Espresso Beans,Raw Material,Completed,12,303.6
SO-00000137,2/28/2026,3/1/2026,3/1/2026,Warehouse,KTOWN,General,Beverage Napkin,Cafe Supply,Completed,1,17.59
SO-00000137,2/28/2026,3/1/2026,3/1/2026,Warehouse,KTOWN,General,2% Milk,Raw Material,Completed,2,9
SO-00000137,2/28/2026,3/1/2026,3/1/2026,Warehouse,KTOWN,General,Whole Milk,Raw Material,Completed,24,108
SO-00000137,2/28/2026,3/1/2026,3/1/2026,Warehouse,KTOWN,General,Buttercream,Premades,Completed,6,98.94
SO-00000137,2/28/2026,3/1/2026,3/1/2026,Warehouse,KTOWN,General,Almond Milk,Raw Material,Completed,2,64
SO-00000137,2/28/2026,3/1/2026,3/1/2026,Warehouse,KTOWN,General,Agave Cases,Raw Material,Completed,2,122.22
SO-00000136,2/27/2026,2/28/2026,2/28/2026,Warehouse,Gardena,General,Strawberry Puree Cases,Raw Material,Completed,1,56.28
SO-00000136,2/27/2026,2/28/2026,2/28/2026,Warehouse,Gardena,General,Rose,Raw Material,Completed,2,14.6
SO-00000136,2/27/2026,2/28/2026,2/28/2026,Warehouse,Gardena,General,Oat Milk,Raw Material,Completed,5,160
SO-00000136,2/27/2026,2/28/2026,2/28/2026,Warehouse,Gardena,General,Ice lid,Consumables,Completed,1,35.25
SO-00000136,2/27/2026,2/28/2026,2/28/2026,Warehouse,Gardena,General,Espresso Beans,Raw Material,Completed,9,227.7
SO-00000136,2/27/2026,2/28/2026,2/28/2026,Warehouse,Gardena,General,Dulce,Raw Material,Completed,1,22.9
SO-00000136,2/27/2026,2/28/2026,2/28/2026,Warehouse,Gardena,General,Decaf Beans,Raw Material,Completed,1,25.3
SO-00000136,2/27/2026,2/28/2026,2/28/2026,Warehouse,Gardena,General,Chai,Raw Material,Completed,1,17.6
SO-00000136,2/27/2026,2/28/2026,2/28/2026,Warehouse,Gardena,General,Black Trash Bag,Cafe Supply,Completed,1,27.4
SO-00000136,2/27/2026,2/28/2026,2/28/2026,Warehouse,Gardena,General,Almond Milk,Raw Material,Completed,1,32
SO-00000136,2/27/2026,2/28/2026,2/28/2026,Warehouse,Gardena,General,Agave Cases,Raw Material,Completed,2,122.22
SO-00000135,2/27/2026,2/28/2026,2/28/2026,Warehouse,KTOWN,General,Whole Milk,Raw Material,Completed,18,81
SO-00000135,2/27/2026,2/28/2026,2/28/2026,Warehouse,KTOWN,General,Sanchez (retail),Retail,Completed,5,0
SO-00000135,2/27/2026,2/28/2026,2/28/2026,Warehouse,KTOWN,General,Tonic Water,Raw Material,Completed,1,36.52
SO-00000135,2/27/2026,2/28/2026,2/28/2026,Warehouse,KTOWN,General,Receipt rolls,Cafe Supply,Completed,2,11.5
SO-00000135,2/27/2026,2/28/2026,2/28/2026,Warehouse,KTOWN,General,Oat Milk,Raw Material,Completed,5,160
SO-00000135,2/27/2026,2/28/2026,2/28/2026,Warehouse,KTOWN,General,Mocha,Raw Material,Completed,1,22.87
SO-00000135,2/27/2026,2/28/2026,2/28/2026,Warehouse,KTOWN,General,Soyo Matcha,Raw Material,Completed,2,460
SO-00000135,2/27/2026,2/28/2026,2/28/2026,Warehouse,KTOWN,General,Custom Ice Cups,Consumables,Completed,2,115.8
SO-00000135,2/27/2026,2/28/2026,2/28/2026,Warehouse,KTOWN,General,Espresso Beans,Raw Material,Completed,12,303.6
SO-00000135,2/27/2026,2/28/2026,2/28/2026,Warehouse,KTOWN,General,Dulce,Raw Material,Completed,1,22.9
SO-00000135,2/27/2026,2/28/2026,2/28/2026,Warehouse,KTOWN,General,Condensed Milk,Raw Material,Completed,1,34.58
SO-00000135,2/27/2026,2/28/2026,2/28/2026,Warehouse,KTOWN,General,CS Vienna Cream,Premades,Completed,13,223.6
SO-00000135,2/27/2026,2/28/2026,2/28/2026,Warehouse,KTOWN,General,Buttercream,Premades,Completed,3,49.47
SO-00000135,2/27/2026,2/28/2026,2/28/2026,Warehouse,KTOWN,General,Almond Milk,Raw Material,Completed,1,32
SO-00000134,2/26/2026,2/26/2026,2/26/2026,Warehouse,Product,General,CS Vienna Cream,Premades,Completed,1,17.2
SO-00000133,2/26/2026,2/26/2026,2/26/2026,Warehouse,Gardena,General,Whole Milk,Raw Material,Completed,13,58.5
SO-00000133,2/26/2026,2/26/2026,2/26/2026,Warehouse,Gardena,General,Buttercream,Premades,Completed,2,32.98
SO-00000133,2/26/2026,2/26/2026,2/26/2026,Warehouse,Gardena,General,CS Vienna Cream,Premades,Completed,14,240.8
SO-00000132,2/26/2026,2/26/2026,2/26/2026,Warehouse,KTOWN,General,Passionfruit Puree,Premades,Completed,1,22.56
SO-00000132,2/26/2026,2/26/2026,2/26/2026,Warehouse,KTOWN,General,Whole Milk,Raw Material,Completed,16,72
SO-00000132,2/26/2026,2/26/2026,2/26/2026,Warehouse,KTOWN,General,CS Vienna Cream,Premades,Completed,11,189.2
SO-00000132,2/26/2026,2/26/2026,2/26/2026,Warehouse,KTOWN,General,Ube Condensed Milk,Raw Material,Completed,1,0
SO-00000132,2/26/2026,2/26/2026,2/26/2026,Warehouse,KTOWN,General,Tonic Water,Raw Material,Completed,1,36.52
SO-00000132,2/26/2026,2/26/2026,2/26/2026,Warehouse,KTOWN,General,Sanchez (retail),Retail,Completed,5,0
SO-00000132,2/26/2026,2/26/2026,2/26/2026,Warehouse,KTOWN,General,Oat Milk,Raw Material,Completed,3,96
SO-00000132,2/26/2026,2/26/2026,2/26/2026,Warehouse,KTOWN,General,Mocha,Raw Material,Completed,1,22.87
SO-00000132,2/26/2026,2/26/2026,2/26/2026,Warehouse,KTOWN,General,Matcha Drizzle,Premades,Completed,1,9.21
SO-00000132,2/26/2026,2/26/2026,2/26/2026,Warehouse,KTOWN,General,Soyo Matcha,Raw Material,Completed,2,460
SO-00000132,2/26/2026,2/26/2026,2/26/2026,Warehouse,KTOWN,General,Lavender,Raw Material,Completed,1,7.3
SO-00000132,2/26/2026,2/26/2026,2/26/2026,Warehouse,KTOWN,General,Ice lid,Consumables,Completed,1,35.25
SO-00000132,2/26/2026,2/26/2026,2/26/2026,Warehouse,KTOWN,General,Espresso Beans,Raw Material,Completed,12,303.6
SO-00000132,2/26/2026,2/26/2026,2/26/2026,Warehouse,KTOWN,General,Dulce,Raw Material,Completed,1,22.9
SO-00000132,2/26/2026,2/26/2026,2/26/2026,Warehouse,KTOWN,General,Cup Sleeves - Green,Consumables,Completed,1,44.98
SO-00000132,2/26/2026,2/26/2026,2/26/2026,Warehouse,KTOWN,General,Cup Carriers,Cafe Supply,Completed,2,17.76
SO-00000132,2/26/2026,2/26/2026,2/26/2026,Warehouse,KTOWN,General,Coldbrew Concentrate,Raw Material,Completed,2,84.28
SO-00000132,2/26/2026,2/26/2026,2/26/2026,Warehouse,KTOWN,General,Chai,Raw Material,Completed,1,17.6
SO-00000132,2/26/2026,2/26/2026,2/26/2026,Warehouse,KTOWN,General,Buttercream,Premades,Completed,2,32.98
SO-00000132,2/26/2026,2/26/2026,2/26/2026,Warehouse,KTOWN,General,Almond Milk,Raw Material,Completed,1,32
SO-00000132,2/26/2026,2/26/2026,2/26/2026,Warehouse,KTOWN,General,2% Milk,Raw Material,Completed,2,9
SO-00000131,2/26/2026,2/26/2026,2/26/2026,Warehouse,Gardena,General,Ube Condensed Milk,Raw Material,Completed,1,0
SO-00000131,2/26/2026,2/26/2026,2/26/2026,Warehouse,Gardena,General,Oat Milk,Raw Material,Completed,5,160
SO-00000131,2/26/2026,2/26/2026,2/26/2026,Warehouse,Gardena,General,Ice lid,Consumables,Completed,1,35.25
SO-00000131,2/26/2026,2/26/2026,2/26/2026,Warehouse,Gardena,General,Custom Ice Cups,Consumables,Completed,1,57.9
SO-00000131,2/26/2026,2/26/2026,2/26/2026,Warehouse,Gardena,General,Espresso Beans,Raw Material,Completed,20,506
SO-00000131,2/26/2026,2/26/2026,2/26/2026,Warehouse,Gardena,General,Dulce,Raw Material,Completed,1,22.9
SO-00000131,2/26/2026,2/26/2026,2/26/2026,Warehouse,Gardena,General,Decaf Beans,Raw Material,Completed,1,25.3
SO-00000131,2/26/2026,2/26/2026,2/26/2026,Warehouse,Gardena,General,Cup Sleeves - Green,Consumables,Completed,1,44.98
SO-00000131,2/26/2026,2/26/2026,2/26/2026,Warehouse,Gardena,General,Chai,Raw Material,Completed,1,17.6
SO-00000131,2/26/2026,2/26/2026,2/26/2026,Warehouse,Gardena,General,Beverage Napkin,Cafe Supply,Completed,1,17.59
SO-00000131,2/26/2026,2/26/2026,2/26/2026,Warehouse,Gardena,General,Almond Milk,Raw Material,Completed,1,32
SO-00000130,2/26/2026,2/26/2026,2/26/2026,Warehouse,Product,General,M1200 Matcha,Raw Material,Completed,1,240
SO-00000129,2/25/2026,2/25/2026,2/25/2026,Warehouse,Gardena,General,Half & Half,Raw Material,Completed,2,7.98
SO-00000129,2/25/2026,2/25/2026,2/25/2026,Warehouse,Gardena,General,Whole Milk,Raw Material,Completed,25,112.5
SO-00000128,2/25/2026,2/25/2026,2/25/2026,Warehouse,Gardena,General,CS Vienna Cream,Premades,Completed,23,395.6
SO-00000128,2/25/2026,2/25/2026,2/25/2026,Warehouse,Gardena,General,Buttercream,Premades,Completed,8,131.92
SO-00000127,2/25/2026,2/25/2026,2/25/2026,Warehouse,Gardena,General,Ube Condensed Milk,Raw Material,Completed,1,0
SO-00000127,2/25/2026,2/25/2026,2/25/2026,Warehouse,Gardena,General,Tonic Water,Raw Material,Completed,1,36.52
SO-00000127,2/25/2026,2/25/2026,2/25/2026,Warehouse,Gardena,General,Black Straws,Consumables,Completed,1,0
SO-00000127,2/25/2026,2/25/2026,2/25/2026,Warehouse,Gardena,General,Sanchez (retail),Retail,Completed,7,0
SO-00000127,2/25/2026,2/25/2026,2/25/2026,Warehouse,Gardena,General,Paper Towel,Cafe Supply,Completed,1,23.9
SO-00000127,2/25/2026,2/25/2026,2/25/2026,Warehouse,Gardena,General,Oat Milk,Raw Material,Completed,3,96
SO-00000127,2/25/2026,2/25/2026,2/25/2026,Warehouse,Gardena,General,Mocha,Raw Material,Completed,2,45.74
SO-00000127,2/25/2026,2/25/2026,2/25/2026,Warehouse,Gardena,General,Ice lid,Consumables,Completed,1,35.25
SO-00000127,2/25/2026,2/25/2026,2/25/2026,Warehouse,Gardena,General,Custom Ice Cups,Consumables,Completed,1,57.9
SO-00000127,2/25/2026,2/25/2026,2/25/2026,Warehouse,Gardena,General,Espresso Beans,Raw Material,Completed,10,253
SO-00000127,2/25/2026,2/25/2026,2/25/2026,Warehouse,Gardena,General,Condensed Milk,Raw Material,Completed,1,34.58
SO-00000127,2/25/2026,2/25/2026,2/25/2026,Warehouse,Gardena,General,Almond Milk,Raw Material,Completed,1,32
SO-00000127,2/25/2026,2/25/2026,2/25/2026,Warehouse,Gardena,General,Agave Cases,Raw Material,Completed,2,122.22
SO-00000126,2/25/2026,2/25/2026,2/25/2026,Warehouse,KTOWN,General,Whole Milk,Raw Material,Completed,21,94.5
SO-00000126,2/25/2026,2/25/2026,2/25/2026,Warehouse,KTOWN,General,CS Vienna Cream,Premades,Completed,11,189.2
SO-00000126,2/25/2026,2/25/2026,2/25/2026,Warehouse,KTOWN,General,Vanilla Syrup,Premades,Completed,2,18.84
SO-00000126,2/25/2026,2/25/2026,2/25/2026,Warehouse,KTOWN,General,Strawberry Puree Cases,Raw Material,Completed,1,56.28
SO-00000126,2/25/2026,2/25/2026,2/25/2026,Warehouse,KTOWN,General,Sanchez (retail),Retail,Completed,5,0
SO-00000126,2/25/2026,2/25/2026,2/25/2026,Warehouse,KTOWN,General,Rose,Raw Material,Completed,1,7.3
SO-00000126,2/25/2026,2/25/2026,2/25/2026,Warehouse,KTOWN,General,Oat Milk,Raw Material,Completed,4,128
SO-00000126,2/25/2026,2/25/2026,2/25/2026,Warehouse,KTOWN,General,Matcha Drizzle,Premades,Completed,1,9.21
SO-00000126,2/25/2026,2/25/2026,2/25/2026,Warehouse,KTOWN,General,Soyo Matcha,Raw Material,Completed,2,460
SO-00000126,2/25/2026,2/25/2026,2/25/2026,Warehouse,KTOWN,General,Ice lid,Consumables,Completed,1,35.25
SO-00000126,2/25/2026,2/25/2026,2/25/2026,Warehouse,KTOWN,General,Custom Ice Cups,Consumables,Completed,1,57.9
SO-00000126,2/25/2026,2/25/2026,2/25/2026,Warehouse,KTOWN,General,Half & Half,Raw Material,Completed,1,3.99
SO-00000126,2/25/2026,2/25/2026,2/25/2026,Warehouse,KTOWN,General,Espresso Beans,Raw Material,Completed,12,303.6
SO-00000126,2/25/2026,2/25/2026,2/25/2026,Warehouse,KTOWN,General,Dish Detergent,Cafe Supply,Completed,2,0
SO-00000126,2/25/2026,2/25/2026,2/25/2026,Warehouse,KTOWN,General,Coldbrew Concentrate,Raw Material,Completed,1,42.14
SO-00000126,2/25/2026,2/25/2026,2/25/2026,Warehouse,KTOWN,General,Buttercream,Premades,Completed,4,65.96
SO-00000126,2/25/2026,2/25/2026,2/25/2026,Warehouse,KTOWN,General,Almond Milk,Raw Material,Completed,1,32
SO-00000126,2/25/2026,2/25/2026,2/25/2026,Warehouse,KTOWN,General,Agave Cases,Raw Material,Completed,2,122.22
SO-00000126,2/25/2026,2/25/2026,2/25/2026,Warehouse,KTOWN,General,2% Milk,Raw Material,Completed,1,4.5
SO-00000125,2/24/2026,2/24/2026,2/24/2026,Warehouse,Gardena,General,Strawberry Puree Cases,Raw Material,Completed,1,56.28
SO-00000125,2/24/2026,2/24/2026,2/24/2026,Warehouse,Gardena,General,Oat Milk,Raw Material,Completed,4,128
SO-00000125,2/24/2026,2/24/2026,2/24/2026,Warehouse,Gardena,General,Custom Ice Cups,Consumables,Completed,1,57.9
SO-00000125,2/24/2026,2/24/2026,2/24/2026,Warehouse,Gardena,General,Espresso Beans,Raw Material,Completed,10,253
SO-00000125,2/24/2026,2/24/2026,2/24/2026,Warehouse,Gardena,General,Almond Milk,Raw Material,Completed,1,32
SO-00000125,2/24/2026,2/24/2026,2/24/2026,Warehouse,Gardena,General,Agave Cases,Raw Material,Completed,1,61.11
SO-00000124,2/24/2026,2/24/2026,2/24/2026,Warehouse,KTOWN,General,CS Vienna Cream,Premades,Completed,9,154.8
SO-00000124,2/24/2026,2/24/2026,2/24/2026,Warehouse,KTOWN,General,Vanilla Syrup,Premades,Completed,2,18.84
SO-00000124,2/24/2026,2/24/2026,2/24/2026,Warehouse,KTOWN,General,Black Straws,Consumables,Completed,1,0
SO-00000124,2/24/2026,2/24/2026,2/24/2026,Warehouse,KTOWN,General,"Pastry Bag, Brown",Cafe Supply,Completed,1,63.93
SO-00000124,2/24/2026,2/24/2026,2/24/2026,Warehouse,KTOWN,General,Oat Milk,Raw Material,Completed,2,64
SO-00000124,2/24/2026,2/24/2026,2/24/2026,Warehouse,KTOWN,General,Custom Ice Cups,Consumables,Completed,1,57.9
SO-00000124,2/24/2026,2/24/2026,2/24/2026,Warehouse,KTOWN,General,Honey,Raw Material,Completed,1,0
SO-00000124,2/24/2026,2/24/2026,2/24/2026,Warehouse,KTOWN,General,Espresso Beans,Raw Material,Completed,9,227.7
SO-00000124,2/24/2026,2/24/2026,2/24/2026,Warehouse,KTOWN,General,Chai,Raw Material,Completed,1,17.6
SO-00000124,2/24/2026,2/24/2026,2/24/2026,Warehouse,KTOWN,General,Caramel,Raw Material,Completed,1,22.9
SO-00000124,2/24/2026,2/24/2026,2/24/2026,Warehouse,KTOWN,General,Buttercream,Premades,Completed,3,49.47
SO-00000124,2/24/2026,2/24/2026,2/24/2026,Warehouse,KTOWN,General,Almond Milk,Raw Material,Completed,1,32
SO-00000124,2/24/2026,2/24/2026,2/24/2026,Warehouse,KTOWN,General,Whole Milk,Raw Material,Completed,17,76.5
SO-00000124,2/24/2026,2/24/2026,2/24/2026,Warehouse,KTOWN,General,2% Milk,Raw Material,Completed,1,4.5
SO-00000123,2/24/2026,2/24/2026,2/24/2026,Warehouse,Gardena,General,CS Vienna Cream,Premades,Completed,8,137.6
SO-00000122,2/24/2026,2/24/2026,2/24/2026,Warehouse,Gardena,General,Buttercream,Premades,Completed,7,115.43
SO-00000122,2/24/2026,2/24/2026,2/24/2026,Warehouse,Gardena,General,CS Vienna Cream,Premades,Completed,26,447.2
SO-00000120,2/23/2026,2/23/2026,2/24/2026,Warehouse,Gardena,General,2% Milk,Raw Material,Completed,3,13.5
SO-00000120,2/23/2026,2/23/2026,2/24/2026,Warehouse,Gardena,General,Whole Milk,Raw Material,Completed,18,81
SO-00000119,2/23/2026,2/23/2026,2/23/2026,Warehouse,Gardena,General,Half & Half,Raw Material,Completed,1,3.99
SO-00000119,2/23/2026,2/23/2026,2/23/2026,Warehouse,Gardena,General,Whole Milk,Raw Material,Completed,11,49.5
SO-00000119,2/23/2026,2/23/2026,2/23/2026,Warehouse,Gardena,General,Buttercream,Premades,Completed,3,49.47
SO-00000119,2/23/2026,2/23/2026,2/23/2026,Warehouse,Gardena,General,CS Vienna Cream,Premades,Completed,11,189.2
SO-00000118,2/22/2026,2/22/2026,2/23/2026,Warehouse,Gardena,General,Whole Milk,Raw Material,Completed,20,90
SO-00000117,2/23/2026,2/23/2026,2/23/2026,Warehouse,Gardena,General,Ube Condensed Milk,Raw Material,Completed,1,0
SO-00000117,2/23/2026,2/23/2026,2/23/2026,Warehouse,Gardena,General,Tonic Water,Raw Material,Completed,1,36.52
SO-00000117,2/23/2026,2/23/2026,2/23/2026,Warehouse,Gardena,General,Paper Bag,Cafe Supply,Completed,1,4.83
SO-00000117,2/23/2026,2/23/2026,2/23/2026,Warehouse,Gardena,General,Oat Milk,Raw Material,Completed,3,96
SO-00000117,2/23/2026,2/23/2026,2/23/2026,Warehouse,Gardena,General,Nitrile Gloves,Cafe Supply,Completed,1,39.9
SO-00000117,2/23/2026,2/23/2026,2/23/2026,Warehouse,Gardena,General,Lavender,Raw Material,Completed,1,7.3
SO-00000117,2/23/2026,2/23/2026,2/23/2026,Warehouse,Gardena,General,Ice lid,Consumables,Completed,1,35.25
SO-00000117,2/23/2026,2/23/2026,2/23/2026,Warehouse,Gardena,General,Espresso Beans,Raw Material,Completed,10,253
SO-00000117,2/23/2026,2/23/2026,2/23/2026,Warehouse,Gardena,General,Dulce,Raw Material,Completed,1,22.9
SO-00000117,2/23/2026,2/23/2026,2/23/2026,Warehouse,Gardena,General,Cup Sleeves - Green,Consumables,Completed,1,44.98
SO-00000117,2/23/2026,2/23/2026,2/23/2026,Warehouse,Gardena,General,Cup Carriers,Cafe Supply,Completed,4,35.52
SO-00000117,2/23/2026,2/23/2026,2/23/2026,Warehouse,Gardena,General,Chai,Raw Material,Completed,1,17.6
SO-00000117,2/23/2026,2/23/2026,2/23/2026,Warehouse,Gardena,General,Almond Milk,Raw Material,Completed,1,32
SO-00000117,2/23/2026,2/23/2026,2/23/2026,Warehouse,Gardena,General,Agave Cases,Raw Material,Completed,1,61.11
SO-00000116,2/23/2026,2/23/2026,2/23/2026,Warehouse,KTOWN,General,Whole Milk,Raw Material,Completed,16,72
SO-00000116,2/23/2026,2/23/2026,2/23/2026,Warehouse,KTOWN,General,CS Vienna Cream,Premades,Completed,12,206.4
SO-00000116,2/23/2026,2/23/2026,2/23/2026,Warehouse,KTOWN,General,Toilet Paper,Cafe Supply,Completed,10,5.5
SO-00000116,2/23/2026,2/23/2026,2/23/2026,Warehouse,KTOWN,General,Tea Bag,Consumables,Completed,1,0
SO-00000116,2/23/2026,2/23/2026,2/23/2026,Warehouse,KTOWN,General,Strawberry Puree Cases,Raw Material,Completed,1,56.28
SO-00000116,2/23/2026,2/23/2026,2/23/2026,Warehouse,KTOWN,General,Rose,Raw Material,Completed,1,7.3
SO-00000116,2/23/2026,2/23/2026,2/23/2026,Warehouse,KTOWN,General,Paper Towel,Cafe Supply,Completed,1,23.9
SO-00000116,2/23/2026,2/23/2026,2/23/2026,Warehouse,KTOWN,General,Paper Bag,Cafe Supply,Completed,1,4.83
SO-00000116,2/23/2026,2/23/2026,2/23/2026,Warehouse,KTOWN,General,Oat Milk,Raw Material,Completed,3,96
SO-00000116,2/23/2026,2/23/2026,2/23/2026,Warehouse,KTOWN,General,Soyo Matcha,Raw Material,Completed,3,690
SO-00000116,2/23/2026,2/23/2026,2/23/2026,Warehouse,KTOWN,General,Lavender,Raw Material,Completed,1,7.3
SO-00000116,2/23/2026,2/23/2026,2/23/2026,Warehouse,KTOWN,General,Ice lid,Consumables,Completed,1,35.25
SO-00000116,2/23/2026,2/23/2026,2/23/2026,Warehouse,KTOWN,General,Half & Half,Raw Material,Completed,1,3.99
SO-00000116,2/23/2026,2/23/2026,2/23/2026,Warehouse,KTOWN,General,Espresso Beans,Raw Material,Completed,12,303.6
SO-00000116,2/23/2026,2/23/2026,2/23/2026,Warehouse,KTOWN,General,Decaf Beans,Raw Material,Completed,1,25.3
SO-00000116,2/23/2026,2/23/2026,2/23/2026,Warehouse,KTOWN,General,Cup Sleeves - Green,Consumables,Completed,1,44.98
SO-00000116,2/23/2026,2/23/2026,2/23/2026,Warehouse,KTOWN,General,Black Trash Bag,Cafe Supply,Completed,1,27.4
SO-00000116,2/23/2026,2/23/2026,2/23/2026,Warehouse,KTOWN,General,Buttercream,Premades,Completed,6,98.94
SO-00000116,2/23/2026,2/23/2026,2/23/2026,Warehouse,KTOWN,General,Agave Cases,Raw Material,Completed,1,61.11
SO-00000116,2/23/2026,2/23/2026,2/23/2026,Warehouse,KTOWN,General,2% Milk,Raw Material,Completed,1,4.5
SO-00000115,2/22/2026,2/23/2026,2/23/2026,Warehouse,KTOWN,General,Whole Milk,Raw Material,Completed,17,76.5
SO-00000115,2/22/2026,2/23/2026,2/23/2026,Warehouse,KTOWN,General,CS Vienna Cream,Premades,Completed,12,206.4
SO-00000115,2/22/2026,2/23/2026,2/23/2026,Warehouse,KTOWN,General,Vanilla Syrup,Premades,Completed,4,37.68
SO-00000115,2/22/2026,2/23/2026,2/23/2026,Warehouse,KTOWN,General,Toilet Paper,Cafe Supply,Completed,10,5.5
SO-00000115,2/22/2026,2/23/2026,2/23/2026,Warehouse,KTOWN,General,Strawberry Puree Cases,Raw Material,Completed,1,56.28
SO-00000115,2/22/2026,2/23/2026,2/23/2026,Warehouse,KTOWN,General,Oat Milk,Raw Material,Completed,3,96
SO-00000115,2/22/2026,2/23/2026,2/23/2026,Warehouse,KTOWN,General,Mocha,Raw Material,Completed,1,22.87
SO-00000115,2/22/2026,2/23/2026,2/23/2026,Warehouse,KTOWN,General,Soyo Matcha,Raw Material,Completed,2,460
SO-00000115,2/22/2026,2/23/2026,2/23/2026,Warehouse,KTOWN,General,Ice lid,Consumables,Completed,1,35.25
SO-00000115,2/22/2026,2/23/2026,2/23/2026,Warehouse,KTOWN,General,Custom Ice Cups,Consumables,Completed,1,57.9
SO-00000115,2/22/2026,2/23/2026,2/23/2026,Warehouse,KTOWN,General,Honey,Raw Material,Completed,1,0
SO-00000115,2/22/2026,2/23/2026,2/23/2026,Warehouse,KTOWN,General,Espresso Beans,Raw Material,Completed,11,278.3
SO-00000115,2/22/2026,2/23/2026,2/23/2026,Warehouse,KTOWN,General,Chai,Raw Material,Completed,1,17.6
SO-00000115,2/22/2026,2/23/2026,2/23/2026,Warehouse,KTOWN,General,Beverage Napkin,Cafe Supply,Completed,1,17.59
SO-00000115,2/22/2026,2/23/2026,2/23/2026,Warehouse,KTOWN,General,Buttercream,Premades,Completed,4,65.96
SO-00000115,2/22/2026,2/23/2026,2/23/2026,Warehouse,KTOWN,General,Almond Milk,Raw Material,Completed,1,32
SO-00000115,2/22/2026,2/23/2026,2/23/2026,Warehouse,KTOWN,General,Agave Cases,Raw Material,Completed,1,61.11
SO-00000115,2/22/2026,2/23/2026,2/23/2026,Warehouse,KTOWN,General,2% Milk,Raw Material,Completed,1,4.5
SO-00000114,2/22/2026,2/23/2026,2/23/2026,Warehouse,Gardena,General,Tonic Water,Raw Material,Completed,1,36.52
SO-00000114,2/22/2026,2/23/2026,2/23/2026,Warehouse,Gardena,General,Black Straws,Consumables,Completed,1,0
SO-00000114,2/22/2026,2/23/2026,2/23/2026,Warehouse,Gardena,General,Sanchez (retail),Retail,Completed,1,0
SO-00000114,2/22/2026,2/23/2026,2/23/2026,Warehouse,Gardena,General,Paper Towel,Cafe Supply,Completed,1,23.9
SO-00000114,2/22/2026,2/23/2026,2/23/2026,Warehouse,Gardena,General,Oat Milk,Raw Material,Completed,6,192
SO-00000114,2/22/2026,2/23/2026,2/23/2026,Warehouse,Gardena,General,Custom Ice Cups,Consumables,Completed,1,57.9
SO-00000114,2/22/2026,2/23/2026,2/23/2026,Warehouse,Gardena,General,Ice lid,Consumables,Completed,1,35.25
SO-00000114,2/22/2026,2/23/2026,2/23/2026,Warehouse,Gardena,General,Espresso Beans,Raw Material,Completed,20,506
SO-00000114,2/22/2026,2/23/2026,2/23/2026,Warehouse,Gardena,General,Almond Milk,Raw Material,Completed,1,32
SO-00000114,2/22/2026,2/23/2026,2/23/2026,Warehouse,Gardena,General,Agave Cases,Raw Material,Completed,2,122.22
SO-00000114,2/22/2026,2/23/2026,2/23/2026,Warehouse,Gardena,General,10oz Hot Cup,Consumables,Completed,1,49.25
SO-00000113,2/21/2026,2/22/2026,2/22/2026,Warehouse,Gardena,General,Tea Bag,Consumables,Completed,2,0
SO-00000113,2/21/2026,2/22/2026,2/22/2026,Warehouse,Gardena,General,Supremo (retail),Retail,Completed,4,41
SO-00000113,2/21/2026,2/22/2026,2/22/2026,Warehouse,Gardena,General,Strawberry Puree Cases,Raw Material,Completed,1,56.28
SO-00000113,2/21/2026,2/22/2026,2/22/2026,Warehouse,Gardena,General,Sanchez (retail),Retail,Completed,5,0
SO-00000113,2/21/2026,2/22/2026,2/22/2026,Warehouse,Gardena,General,"Pastry Bag, Brown",Cafe Supply,Completed,1,63.93
SO-00000113,2/21/2026,2/22/2026,2/22/2026,Warehouse,Gardena,General,Oat Milk,Raw Material,Completed,4,128
SO-00000113,2/21/2026,2/22/2026,2/22/2026,Warehouse,Gardena,General,Mocha,Raw Material,Completed,2,45.74
SO-00000113,2/21/2026,2/22/2026,2/22/2026,Warehouse,Gardena,General,Mirado (retail),Retail,Completed,3,37.2
SO-00000113,2/21/2026,2/22/2026,2/22/2026,Warehouse,Gardena,General,Custom Ice Cups,Consumables,Completed,2,115.8
SO-00000113,2/21/2026,2/22/2026,2/22/2026,Warehouse,Gardena,General,Espresso Beans,Raw Material,Completed,10,253
SO-00000113,2/21/2026,2/22/2026,2/22/2026,Warehouse,Gardena,General,Cup Sleeves - Green,Consumables,Completed,1,44.98
SO-00000113,2/21/2026,2/22/2026,2/22/2026,Warehouse,Gardena,General,Chai,Raw Material,Completed,1,17.6
SO-00000113,2/21/2026,2/22/2026,2/22/2026,Warehouse,Gardena,General,Almond Milk,Raw Material,Completed,1,32
SO-00000113,2/21/2026,2/22/2026,2/22/2026,Warehouse,Gardena,General,Agave Cases,Raw Material,Completed,2,122.22
